entity_id,stage,stage_name,prompt,negative_prompt,seed,realism_adjusted,adjustment_note,source_file
FL-EN4,2,Brirum,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Broad-chested figure now fully mantled in blue flame climbing shoulder to crown, turquoise scale plates hardened into overlapping armor segments that catch cold highlights like glass. Stance widened, fists ready, flame-light casting sharp blue rim light against the dark fog, faint heat-shimmer around the plated torso. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 2 (elite): 8–12 ft, battle-worn and hardened; scars, layered armor-growth, visibly active power channels; slightly low camera angle conveying threat.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",3995534411,False,,factionless_prompts.json
FL-EN4,3,Briror,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Massive bonfire-scaled titan, body armored in overlapping turquoise plates fused to deep-blue flame so cold it frosts the air near its skin while embers scorch elsewhere. Fire climbs from wrists to shoulders in controlled sheets. Ground beneath alternates rimed frost and scorched black in patches, fog swirling into the flame's cold-hot convection. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 3 (apex): 20 ft and beyond, cinematic god-scale; overwhelming presence, atmosphere reacting to the body (fog displacement, ground stress); dramatic low-angle hero shot while keeping full body in frame.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",1411883877,False,,factionless_prompts.json
FL-EN5,1,Oruluxa,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Broad-shouldered humanoid, an axe carved from dense grey stormcloud-textured stone slung across one shoulder, static-charged hair standing on end. Weathered bronze skin, sturdy stance, faint blue spark visible at fingertips. Cool overcast rim lighting along the axe's granite-grey haft. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 1 (juvenile): roughly human scale (5–7 ft), lean and unproven; emerging powers only hinted at in surface detail; camera at eye level.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",1105490731,False,,factionless_prompts.json
FL-EN5,2,Oruluxiel,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Muscular warrior bearing twin storm-textured axes strapped to its back, small lightning forks visibly jumping between clenched fingers. Static-charged hair fully upright, scarred forearms, wide combat stance. Faint blue arc-light illuminates the underside of its jaw. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 2 (elite): 8–12 ft, battle-worn and hardened; scars, layered armor-growth, visibly active power channels; slightly low camera angle conveying threat.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",3059253808,False,,factionless_prompts.json
FL-EN5,3,Oruluxon,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Towering oak-rooted storm titan, twin axes now solid crackling lightning bolts gripped in massive fists, root-like tendons wrapping forearms into a tree-bark texture. Storm-static hair whipping upward, ground scorched in axe-shaped burn marks, thunderhead haze pressing low around its crown, fog rippling with each swing's shockwave. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 3 (apex): 20 ft and beyond, cinematic god-scale; overwhelming presence, atmosphere reacting to the body (fog displacement, ground stress); dramatic low-angle hero shot while keeping full body in frame.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",176763998,False,,factionless_prompts.json
FL-EN6,1,Kelil,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Double-headed humanoid figure, two faces on a shared thick neck each angled toward a different direction, carrying a smoldering carved wooden staff with faint ember glow at its tip. Weathered patina skin, still watchful posture, thin grey smoke trailing from the staff's carved head. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 1 (juvenile): roughly human scale (5–7 ft), lean and unproven; emerging powers only hinted at in surface detail; camera at eye level.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",269184668,False,,factionless_prompts.json
FL-EN6,2,Kelan,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Double-headed figure, staff now trailing a ribbon of static-charged smoke that coils upward past both faces, jaw muscles of each head subtly tensed as if mid-speech. Broader stance, patina-bronze skin scarred at the shoulders where the two necks fuse. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 2 (elite): 8–12 ft, battle-worn and hardened; scars, layered armor-growth, visibly active power channels; slightly low camera angle conveying threat.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2103085733,False,,factionless_prompts.json
FL-EN6,3,Kelex,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Massive twin-visaged storm-king, staff transformed into a spinning column of crackling ball lightning gripped overhead, both weathered faces turned outward in unison. Broad armored chest of oxidized bronze plating, storm-charged air rippling the fog around the staff's glow, wide low stance radiating authority. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 3 (apex): 20 ft and beyond, cinematic god-scale; overwhelming presence, atmosphere reacting to the body (fog displacement, ground stress); dramatic low-angle hero shot while keeping full body in frame.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2520664012,False,,factionless_prompts.json
FL-EN7,1,Quelumenil,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Lean, sun-bright humanoid with a thin wheel-shaped halo of hard light rotating slowly above its head. Bronze-toned skin with faint warm glow at the joints, relaxed upright stance, halo casting soft golden rim light across the shoulders. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 1 (juvenile): roughly human scale (5–7 ft), lean and unproven; emerging powers only hinted at in surface detail; camera at eye level.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",3502579363,False,,factionless_prompts.json
FL-EN7,2,Quelumenan,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Athletic figure crowned by a wheel-halo now grown hard white spokes, a small secondary flare of light visible mid-arc near one shoulder like a fading spark-sun. Weathered bronze skin catching the halo's directional glow, confident forward stance. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 2 (elite): 8–12 ft, battle-worn and hardened; scars, layered armor-growth, visibly active power channels; slightly low camera angle conveying threat.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",2664645212,False,,factionless_prompts.json
FL-EN7,3,Quelumenex,"Photorealistic dark-fantasy creature/deity concept art. Cinematic lighting: strong key light, controlled rim light, deep shadow falloff, volumetric atmosphere. Physically-based materials — real skin with pores and subsurface scattering, real metal with accurate reflectance and wear, real fire with emissive bloom, real stone with granular texture. Absolutely no cel shading, no anime, no cartoon, no illustration line-art, no painterly stylization. Grounded, anatomically plausible construction even for supernatural beings — as realistic as the deity it derives from can be: muscles, weight, joint articulation, and material physics must read as real. Neutral dark studio-fog background (charcoal gradient with low-lying fog, no environment, no props, no other figures) for clean sprite extraction. Single subject, full body visible head to toe, centered in frame, 3/4 view. Midsummer titan crowned in a solid wheel of light the size of a chariot wheel, spokes blazing white-gold, small spark-suns visibly flaring and guttering in the air near its head. Massive sun-bronzed frame, ground beneath aged and sun-bleached in a radiating pattern, fog burned back by the halo's heat. Weathered ancient-pantheon materials — eroded stone, oxidized bronze, verdigris, aged patina; museum-relic gravitas, timeless and faction-neutral. Stage 3 (apex): 20 ft and beyond, cinematic god-scale; overwhelming presence, atmosphere reacting to the body (fog displacement, ground stress); dramatic low-angle hero shot while keeping full body in frame.","anime, cartoon, cel shading, illustration, flat colors, chibi, low poly, text, watermark, multiple subjects, blurry, deformed anatomy, extra limbs beyond described",3905681298,False,,factionless_prompts.json
